2022-09-21 10:32:56,963:INFO:ProfileLogger:Model:SCNN, AddInfo: Timestep1
 | module         | #parameters or shape   | #flops   |
|:---------------|:-----------------------|:---------|
| model          | 0.702M                 | 11.857M  |
|  conv1         |  60                    |  0.778M  |
|   conv1.weight |   (6, 1, 3, 3)         |          |
|   conv1.bias   |   (6,)                 |          |
|  conv2         |  0.88K                 |          |
|   conv2.weight |   (16, 6, 3, 3)        |          |
|   conv2.bias   |   (16,)                |          |
|  fc1           |  0.691M                |  11.059M |
|   fc1.weight   |   (128, 5400)          |          |
|   fc1.bias     |   (128,)               |          |
|  fc2           |  8.256K                |          |
|   fc2.weight   |   (64, 128)            |          |
|   fc2.bias     |   (64,)                |          |
|  fc3           |  1.29K                 |  20.48K  |
|   fc3.weight   |   (10, 128)            |          |
|   fc3.bias     |   (10,)                |          |
2022-09-21 10:39:45,244:INFO:ProfileLogger:Model:SCNN, AddInfo: Timestep4
 | module         | #parameters or shape   | #flops   |
|:---------------|:-----------------------|:---------|
| model          | 0.702M                 | 47.429M  |
|  conv1         |  60                    |  3.11M   |
|   conv1.weight |   (6, 1, 3, 3)         |          |
|   conv1.bias   |   (6,)                 |          |
|  conv2         |  0.88K                 |          |
|   conv2.weight |   (16, 6, 3, 3)        |          |
|   conv2.bias   |   (16,)                |          |
|  fc1           |  0.691M                |  44.237M |
|   fc1.weight   |   (128, 5400)          |          |
|   fc1.bias     |   (128,)               |          |
|  fc2           |  8.256K                |          |
|   fc2.weight   |   (64, 128)            |          |
|   fc2.bias     |   (64,)                |          |
|  fc3           |  1.29K                 |  81.92K  |
|   fc3.weight   |   (10, 128)            |          |
|   fc3.bias     |   (10,)                |          |
2022-09-21 10:46:25,007:INFO:ProfileLogger:Model:SCNN, AddInfo: Timestep8
 | module         | #parameters or shape   | #flops   |
|:---------------|:-----------------------|:---------|
| model          | 0.702M                 | 94.858M  |
|  conv1         |  60                    |  6.221M  |
|   conv1.weight |   (6, 1, 3, 3)         |          |
|   conv1.bias   |   (6,)                 |          |
|  conv2         |  0.88K                 |          |
|   conv2.weight |   (16, 6, 3, 3)        |          |
|   conv2.bias   |   (16,)                |          |
|  fc1           |  0.691M                |  88.474M |
|   fc1.weight   |   (128, 5400)          |          |
|   fc1.bias     |   (128,)               |          |
|  fc2           |  8.256K                |          |
|   fc2.weight   |   (64, 128)            |          |
|   fc2.bias     |   (64,)                |          |
|  fc3           |  1.29K                 |  0.164M  |
|   fc3.weight   |   (10, 128)            |          |
|   fc3.bias     |   (10,)                |          |
2022-09-21 10:53:17,321:INFO:ProfileLogger:Model:SCNN, AddInfo: Timestep10
 | module         | #parameters or shape   | #flops   |
|:---------------|:-----------------------|:---------|
| model          | 0.702M                 | 0.119G   |
|  conv1         |  60                    |  7.776M  |
|   conv1.weight |   (6, 1, 3, 3)         |          |
|   conv1.bias   |   (6,)                 |          |
|  conv2         |  0.88K                 |          |
|   conv2.weight |   (16, 6, 3, 3)        |          |
