2022-09-14 12:43:23,925:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 97.7%, AvgLoss: 0.005099, AddInfo: hopLen512_nMFCC16_mfcc
2022-09-14 12:44:34,604:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 96.3%, AvgLoss: 0.006910, AddInfo: hopLen512_nMFCC16_mfcc
2022-09-14 12:46:02,818:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 98.0%, AvgLoss: 0.007956, AddInfo: hopLen512_nMFCC16_mfcc
2022-09-14 13:12:42,054:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 99.0%, AvgLoss: 0.004314, AddInfo: hopLen512_nMFCC16_mfcc1Conly
2022-09-14 13:15:29,062:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 98.3%, AvgLoss: 0.002161, AddInfo: hopLen512_nMFCC16_mfcc1Conly
2022-09-14 13:16:47,384:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 97.7%, AvgLoss: 0.006632, AddInfo: hopLen512_nMFCC16_mfcc1Conly
2022-09-14 13:24:11,860:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 98.0%, AvgLoss: 0.005895, AddInfo: hopLen512_nMFCC16_mfcc2FConly
2022-09-14 13:25:39,476:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 96.3%, AvgLoss: 0.005148, AddInfo: hopLen512_nMFCC16_mfcc2FConly
2022-09-14 13:26:52,799:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 97.7%, AvgLoss: 0.006147, AddInfo: hopLen512_nMFCC16_mfcc2FConly
2022-09-14 13:29:30,777:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 97.3%, AvgLoss: 0.006500, AddInfo: hopLen512_nMFCC16_mfcc1C2FConly
2022-09-14 13:30:42,869:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 96.7%, AvgLoss: 0.007231, AddInfo: hopLen512_nMFCC16_mfcc1C2FConly
2022-09-14 13:32:09,581:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 97.0%, AvgLoss: 0.006764, AddInfo: hopLen512_nMFCC16_mfcc1C2FConly
2022-09-14 13:41:12,797:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 98.7%, AvgLoss: 0.045676, AddInfo: hopLen512_nMFCC16_mfcc_10Steps
2022-09-14 13:44:19,391:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 98.3%, AvgLoss: 0.044805, AddInfo: hopLen512_nMFCC16_mfcc_10Steps
2022-09-14 13:50:45,255:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 98.7%, AvgLoss: 0.054177, AddInfo: hopLen512_nMFCC16_mfcc_10Steps
2022-09-14 14:09:32,525:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 96.3%, AvgLoss: 0.009398, AddInfo: hopLen512_nMFCC16_mfcc_1Steps
2022-09-14 14:11:07,033:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 95.7%, AvgLoss: 0.005424, AddInfo: hopLen512_nMFCC16_mfcc_1Steps
2022-09-14 14:18:16,058:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 95.3%, AvgLoss: 0.007551, AddInfo: hopLen512_nMFCC16_mfcc_1Steps
2022-09-14 14:28:50,430:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 98.3%, AvgLoss: 0.087191, AddInfo: hopLen512_nMFCC16_mfcc_10Steps
2022-09-14 14:35:29,844:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 98.7%, AvgLoss: 0.069429, AddInfo: hopLen512_nMFCC16_mfcc_10Steps
2022-09-14 14:46:24,121:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 98.3%, AvgLoss: 0.059643, AddInfo: hopLen512_nMFCC16_mfcc_10Steps
2022-09-14 15:18:28,729:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 97.0%, AvgLoss: 0.042891, AddInfo: hopLen512_nMFCC16_mfcc1C2FCNoPool_10Steps
2022-09-14 15:20:53,965:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 99.0%, AvgLoss: 0.025212, AddInfo: hopLen512_nMFCC16_mfcc1C2FCNoPool_10Steps
2022-09-14 15:23:13,332:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 98.0%, AvgLoss: 0.038397, AddInfo: hopLen512_nMFCC16_mfcc1C2FCNoPool_10Steps
2022-09-14 15:27:45,986:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 94.0%, AvgLoss: 0.114657, AddInfo: hopLen512_nMFCC16_mfcc1C2FCGotPool_10Steps
2022-09-14 15:29:54,209:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 92.7%, AvgLoss: 0.100044, AddInfo: hopLen512_nMFCC16_mfcc1C2FCGotPool_10Steps
2022-09-14 15:32:14,216:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 95.0%, AvgLoss: 0.125522, AddInfo: hopLen512_nMFCC16_mfcc1C2FCGotPool_10Steps
2022-09-14 16:46:25,782:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 99.7%, AvgLoss: 0.018882, AddInfo: hopLen512_nMFCC16_mfcc1C2FCNoPool_10Steps
2022-09-14 16:48:35,770:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 98.3%, AvgLoss: 0.041503, AddInfo: hopLen512_nMFCC16_mfcc1C2FCNoPool_10Steps
2022-09-14 16:57:23,777:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 97.7%, AvgLoss: 0.044935, AddInfo: hopLen512_nMFCC16_mfcc1C2FCNoPool_10Steps
2022-09-14 17:00:35,530:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 97.0%, AvgLoss: 0.002653, AddInfo: hopLen512_nMFCC16_mfcc1C2FCNoPool_1Steps
2022-09-14 17:04:08,576:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 96.7%, AvgLoss: 0.002816, AddInfo: hopLen512_nMFCC16_mfcc1C2FCNoPool_1Steps
2022-09-15 11:29:19,460:INFO:ResultsLogger:Model:CustomSCNN2, EpochTrained:20, Acc: 97.0%, AvgLoss: 0.002967, AddInfo: hopLen512_nMFCC16_mfcc1C2FCNoPool_1Steps
2022-09-20 16:12:07,112:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 99.7%, AvgLoss: 0.001616, AddInfo: hopLen512_nMFCC16_mfcc1C2FCNoPool
2022-09-20 16:26:32,962:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 99.7%, AvgLoss: 0.000454, AddInfo: hopLen512_nMFCC16_mfcc1C2FCNoPool
2022-09-20 16:38:31,498:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 98.7%, AvgLoss: 0.004698, AddInfo: hopLen512_nMFCC16_mfcc1C2FCNoPool
2022-09-20 17:37:58,977:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 98.3%, AvgLoss: 0.003314, AddInfo: hopLen512_nMFCC16_mfcc
2022-09-21 09:31:00,105:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 92.0%, AvgLoss: 0.015812, AddInfo: hopLen512_nMFCC16_mfcc
2022-10-19 13:56:01,746:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 99.3%, AvgLoss: 0.025385, AddInfo: hopLen512_nMFCC16_mfcc_10Steps
2022-10-22 17:07:23,671:INFO:ResultsLogger:Model:SCNN, EpochTrained:20, Acc: 96.7%, AvgLoss: 0.005524, AddInfo: hopLen512_nMFCC16_mfccPaperRun
2022-10-22 17:13:09,434:INFO:ResultsLogger:Model:SCNN, EpochTrained:20, Acc: 96.7%, AvgLoss: 0.010965, AddInfo: hopLen512_nMFCC16_mfccPaperRun
2022-10-22 18:11:35,413:INFO:ResultsLogger:Model:SCNN, EpochTrained:20, Acc: 95.3%, AvgLoss: 0.014447, AddInfo: hopLen512_nMFCC16_mfccPaperRun
2022-10-22 18:19:25,788:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 99.0%, AvgLoss: 0.048957, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
2022-10-22 18:24:14,730:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 98.7%, AvgLoss: 0.053081, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
